GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2018;03459;Osnabrück, Landkreis;5412;5313;6913;9186;5945;4446;10761;10607;10394;10383;10181;12538;15572;15026;12106;16831;15816;5106;4935;6432;8659;5839;3885;8961;9217;9875;10271;10392;12611;15444;14906;12136;17558;23686
31.12.2018;03460;Vechta, Landkreis;2383;2347;3033;3995;2721;1932;5196;4947;4968;4507;4341;4991;6042;5608;4229;5618;4737;2401;2110;2814;3749;2475;1706;4749;4535;4500;4227;4352;4731;5667;5293;4202;5581;6911
31.12.2018;03461;Wesermarsch, Landkreis;1204;1119;1569;2040;1480;1055;2629;2507;2357;2289;2343;3139;4076;3916;3184;4930;4573;1133;1016;1353;1997;1397;921;2162;2289;2149;2191;2376;3032;4025;3771;3108;5065;6229
31.12.2018;03462;Wittmund, Landkreis;715;760;1046;1333;953;663;1528;1564;1441;1418;1472;2017;2354;2349;1944;3509;2853;660;669;930;1319;908;650;1385;1357;1428;1511;1463;2055;2394;2474;2194;3652;3914
31.12.2018;04011;Bremen, kreisfreie Stadt;8760;8025;9730;12478;7723;6500;19748;22178;21171;19024;16914;18709;22826;19970;16331;25792;25457;8313;7540;9125;11580;7063;5716;17954;20442;19919;18163;16386;18174;21719;20347;17568;29510;38497
31.12.2018;04012;Bremerhaven, kreisfreie Stadt;1855;1785;2168;2774;1615;1226;3832;4059;3887;3630;3408;3662;4334;4197;3628;5558;5081;1660;1631;2054;2599;1587;1276;3348;3424;3261;3082;3017;3410;4177;4374;3955;6393;7687
31.12.2018;05111;Düsseldorf, kreisfreie Stadt;10099;8999;11233;13281;7501;5402;16117;22987;25497;23048;20024;21846;25205;21391;16415;24664;25606;9443;8691;10466;12510;6987;5135;17527;25866;26447;23105;20075;21132;23881;21432;17933;30221;39128
31.12.2018;05112;Duisburg, kreisfreie Stadt;8088;7429;9318;11863;7418;5518;16226;18169;16707;15730;14900;16986;20413;18850;15696;21622;21655;7483;6822;8842;11072;6994;5072;14438;16830;15847;14960;14597;16665;19327;18634;16072;25076;33271
31.12.2018;05113;Essen, kreisfreie Stadt;9008;8429;10133;13044;7782;5905;17403;21399;20543;18664;16675;18906;22914;21198;18131;26688;26183;8484;7904;9715;12236;7226;5311;17131;21432;20030;18317;16845;18878;22494;21723;19436;31349;41593
31.12.2018;05114;Krefeld, kreisfreie Stadt;3370;3089;4184;5376;3312;2538;6705;7516;7077;6577;6376;7618;9717;8880;7314;10452;10644;3217;2969;3825;4913;3128;2214;6120;6966;6726;6722;6612;7809;9624;8999;7795;12587;16049
31.12.2018;05116;Mönchengladbach, kreisfreie Stadt;4093;3639;4672;6133;3880;2786;7778;9161;8885;7912;7250;8671;11031;10382;8656;12423;11303;3672;3510;4443;5696;3628;2621;7611;8558;8210;7699;7451;8611;10683;10586;9023;13838;16959
